카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3EMF,344420,53.0,
핸디스틱청소기,테팔,엑스퍼트 3.60 플러피 TY6964,280200,45.0,
핸디스틱청소기,아이룸,트윈파워 MAX,145000,,
물걸레청소기,한경희생활과학,아쿠아젯 듀얼스핀 HIA-C200,119000,120.0,
핸디스틱청소기,비브르,스톰파워 VE12,117900,40.0,120
핸디스틱청소기,삼성전자,제트 VS20T9258SDCC,548870,60.0,200
물걸레청소기,샤오미,드리미 건습식 W10 Pro,428000,,
차량용청소기,마이프랜드,아백 무선 청소기,37940,20.0,60
핸디스틱청소기,모모픽,MAX200,138000,40.0,200
차량용청소기,SooPii,차량용 무선 에어건 겸용 청소기 BV01 전용필터,1960,,
핸디/스틱청소기+로봇청소기세트,LG전자,오브제컬렉션 코드제로 A9S AU9882WD + MO971WA,1818070,60.0,220
핸디청소기,듀플렉스,DP-485VC,25000,,
핸디스틱청소기,작스제로,XAX 0,271810,40.0,290
차량용청소기,카렉스,파워스톰 스윙 무선 청소기 S2,27810,30.0,50
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9472WD,1101950,60.0,220
핸디/스틱청소기+로봇청소기세트,LG전자,오브제컬렉션 코드제로 A9S AU9982GD + MO971GA,1768690,60.0,220
핸디스틱청소기,LG전자,코드제로 A9S AT9300IA,699390,60.0,200
핸디스틱청소기,보만,VC7210,49790,,
핸디스틱청소기,샤오미,미지아 K10 프로,348990,65.0,150
핸디스틱청소기,한샘,스톰건 V12 VC-R201,107000,35.0,200
차량용청소기,카렉스,파워스톰 텀블러 차량용 무선청소기 S8A,28300,,55
핸디청소기,블랙앤데커,리비바 REVHV8C,79000,22.0,
